What is the general definition of 'sorting' in data structures?,Arranging elements like numbers or names in either increasing or decreasing order.
Which specific sorting algorithm compares consecutive pairs of elements and swaps them if they are in the wrong order?,Bubble Sort
"In Bubble Sort, what is the default assumption for the sorting order if not specified?",Increasing order
"According to the source, what must be true for the left-hand element compared to the right-hand element in an increasing sort?",The left-hand element should be smaller than or equal to the right-hand element.
What does the term 'iteration' refer to in the context of sorting algorithms?,A complete cycle of a repeated process or routine.
Which programming construct is used to handle the repetition required for iterations in sorting?,Loops
What is the programming term for interchanging the positions of two elements?,Swapping
How can you swap two variables $A$ and $B$ in a single line of Python code?,"$A, B = B, A$"
Traditional languages like C++ or Java often require a _____ variable to swap two values.,Temporary
"In Python, what is the index of the first element in a list?",0
"If a list has $n$ elements, what is the index of the last element?",$n - 1$
"During the first iteration of Bubble Sort, where does the largest element in the array end up?",At the very last position (the highest index).
"In the implementation of Bubble Sort, how many nested loops are typically required?",Two
Why does the number of elements to be compared decrease after each iteration of Bubble Sort?,Because the largest elements 'bubble up' to their correct final positions at the end of the array.
What is the primary role of the inner loop in the Bubble Sort algorithm?,To perform adjacent comparisons and swaps within a single iteration.
What is the primary role of the outer loop in the Bubble Sort algorithm?,To control the total number of iterations required to sort the entire list.
"If $n$ is the length of the list, what is the standard range for the outer loop to ensure all elements are sorted?",$0$ to $n - 1$
Formula: What is the optimized upper bound for the inner loop index $j$ during iteration $i$?,$n - 1 - i$
"In Python's `range(n)`, what is the final value generated by the sequence?",$n - 1$
Concept: $O(n^2)$,Definition: The average and worst-case time complexity of the Bubble Sort algorithm.
"If the inner loop range is defined as `range(n - 1 - i)`, what is the value of $i$ during the very first iteration?",0
What condition must be met to trigger a swap between `arr[j]` and `arr[j + 1]` for an increasing sort?,`arr[j] > arr[j + 1]`
"If a list has 6 elements, how many comparisons are made in the very first iteration of Bubble Sort?",5
Why is it unnecessary to run Bubble Sort iterations for the very last remaining element?,"If all other elements are in their correct positions, the last element is automatically sorted."
"In Python's `range(start, stop)`, is the `stop` value included or excluded from the sequence?",Excluded
Which Python function is used to determine the total number of elements in a list?,`len()`
"In the context of the inner loop, why is the index compared as $j$ and $j + 1$?",To check consecutive (adjacent) elements in the list.
What happens if the current element is smaller than the next element during an increasing Bubble Sort?,"No swap occurs, and the loop moves to the next pair."
How does Bubble Sort perform if the input list is already sorted?,"It still performs comparisons in the standard implementation, leading to $O(n^2)$ complexity."
Sequence: What are the three steps for a traditional swap using a temporary variable $T$ to swap $A$ and $B$?,$T = A$; $A = B$; $B = T$
"In the `range(1, 5, 2)` function, what does the third parameter `2` represent?",The step or increment value between numbers in the sequence.
"If Bubble Sort completes 3 iterations on a list of 10 elements, how many of the largest elements are guaranteed to be in their correct positions?",3
Why is the time complexity of Bubble Sort considered $O(n^2)$?,"Because it uses two nested loops, each roughly iterating $n$ times."
"Code Logic: If `j` reaches $n - 1$ in the inner loop, why is comparing `arr[j]` to `arr[j + 1]` problematic?",It will cause an 'index out of bounds' error because `j + 1` (index $n$) does not exist.
The process of an element moving to the end of the list during an iteration is why the algorithm is called _____ Sort.,Bubble
"In an increasing sort, if the list is `[64, 32, 25]`, what is the state of the list after the first comparison and swap?","`[32, 64, 25]`"
Term: Pointer/Index,Definition: A variable used to track the current position or location of an element within a list or array.
How does the logic for a decreasing sort differ from an increasing sort in the inner loop?,The swap condition changes from `arr[j] > arr[j + 1]` to `arr[j] < arr[j + 1]`.
What is the maximum number of iterations ($i$) usually needed for the outer loop in Bubble Sort for $n$ elements?,$n - 1$
"Cloze: In Python, `a, b = b, a` is an example of _____ assignment used for swapping.",Simultaneous (or Tuple Unpacking)
True or False: Bubble Sort is highly efficient for very large datasets.,False
What determines if a second loop is needed inside the first loop for sorting?,The need to repeat the comparison-and-swap process multiple times until all elements are positioned correctly.
"In the provided example, why was the inner loop range set to `n - 1 - i` instead of just `n - 1`?",To avoid re-comparing elements that are already sorted at the end of the list.
"If $i = 2$ and $n = 6$, what is the upper limit of the inner loop using `range(n - 1 - i)`?","3 (the loop will iterate for indices 0, 1, and 2)."
What happens to the time complexity if we use a single loop instead of nested loops in Bubble Sort?,"It would only move one element to its correct position, failing to sort the entire list."
Python syntax: How do you define a function named `bubble_sort` that takes one argument `arr`?,`def bubble_sort(arr):`
"In Bubble Sort, if no swaps occur during an entire iteration, what does this imply about the list?",The list is already fully sorted.
What is the result of `range(5)` in Python?,"The sequence $0, 1, 2, 3, 4$."
"In the context of the tutorial, why is Python called a 'dangerous' (powerful) language for swapping?","It can perform complex operations like swapping in a single, concise line."
"If the list is `[15, 20, 25, 32, 45, 64]`, how many swaps will occur in the next iteration of an increasing Bubble Sort?",Zero
